Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
-3.5680000000000004e-05,-1.02,0.0004,0.02,0.0004
-3.5640000000000004e-05,-1.02,0.0004,0.02,0.0004
-3.56e-05,-1.02,-0.002,0.02,0.0004
-3.5560000000000005e-05,-1.0,-0.0048000000000000004,0.02,0.0004
-3.552e-05,-1.02,-0.0068000000000000005,0.02,0.0004
-3.5480000000000006e-05,-1.04,-0.0044,0.02,0.0004
-3.544e-05,-1.04,0.002,0.02,0.0004
-3.54e-05,-1.0,0.0036000000000000003,0.02,0.0004
-3.536e-05,-1.02,0.0016,0.02,0.0004
-3.532e-05,-1.02,0.0,0.02,0.0004
-3.528e-05,-1.02,0.0028,0.02,0.0004
-3.524e-05,-0.98,0.0032,0.02,0.0004
-3.52e-05,-1.02,0.002,0.02,0.0004
-3.516e-05,-1.02,0.0016,0.02,0.0004
-3.512e-05,-1.02,0.002,0.02,0.0004
-3.508e-05,-1.0,0.0008,0.02,0.0004
-3.504e-05,-1.02,-0.0012000000000000001,0.02,0.0004
-3.5000000000000004e-05,-1.02,-0.0008,0.02,0.0004
-3.4960000000000004e-05,-1.0,0.002,0.02,0.0004
-3.4920000000000004e-05,-1.0,0.004,0.02,0.0004
-3.4880000000000005e-05,-1.02,0.0,0.02,0.0004
-3.484e-05,-1.04,-0.002,0.02,0.0004
-3.4800000000000006e-05,-1.02,-0.0036000000000000003,0.02,0.0004
-3.476e-05,-1.04,-0.0016,0.02,0.0004
-3.4720000000000006e-05,-1.02,-0.0016,0.02,0.0004
-3.468e-05,-1.02,-0.0032,0.02,0.0004
-3.464e-05,-1.04,-0.0064,0.02,0.0004
-3.46e-05,-1.0,-0.0088,0.02,0.0004
-3.456e-05,-1.0,-0.0024000000000000002,0.02,0.0004
-3.452e-05,-0.98,0.0024000000000000002,0.02,0.0004
-3.448e-05,-1.0,0.0028,0.02,0.0004
-3.444e-05,-1.02,0.0016,0.02,0.0004
-3.44e-05,-1.02,0.0008,0.02,0.0004
-3.436e-05,-1.02,0.0012000000000000001,0.02,0.0004
-3.4320000000000003e-05,-1.0,-0.0004,0.02,0.0004
-3.4280000000000004e-05,-1.0,-0.002,0.02,0.0004
-3.424e-05,-1.0,-0.002,0.02,0.0004
-3.4200000000000005e-05,-1.0,-0.0032,0.02,0.0004
-3.416e-05,-1.0,-0.0016,0.02,0.0004
-3.4120000000000005e-05,-1.02,-0.0012000000000000001,0.02,0.0004
-3.408e-05,-1.02,-0.0004,0.02,0.0004
-3.4040000000000006e-05,-1.0,0.0016,0.02,0.0004
-3.4e-05,-1.0,0.0032,0.02,0.0004
-3.396000000000001e-05,-1.0,0.0012000000000000001,0.02,0.0004
-3.392e-05,-1.02,-0.0004,0.02,0.0004
-3.388e-05,-1.02,-0.0036000000000000003,0.02,0.0004
-3.384e-05,-1.0,-0.0032,0.02,0.0004
-3.38e-05,-1.02,0.0,0.02,0.0004
-3.376e-05,-1.02,0.0008,0.02,0.0004
-3.372e-05,-1.0,-0.0036000000000000003,0.02,0.0004
-3.368e-05,-1.0,-0.0044,0.02,0.0004
-3.364e-05,-1.04,-0.0012000000000000001,0.02,0.0004
-3.3600000000000004e-05,-1.0,0.0008,0.02,0.0004
-3.356e-05,-1.04,0.0,0.02,0.0004
-3.3520000000000004e-05,-1.02,-0.0008,0.02,0.0004
-3.348e-05,-1.02,-0.002,0.02,0.0004
-3.3440000000000005e-05,-1.02,-0.0044,0.02,0.0004
-3.34e-05,-1.02,-0.0068000000000000005,0.02,0.0004
-3.3360000000000006e-05,-1.02,-0.0068000000000000005,0.02,0.0004
-3.332e-05,-1.0,-0.002,0.02,0.0004
-3.328000000000001e-05,-1.02,0.002,0.02,0.0004
-3.324e-05,-1.0,0.0012000000000000001,0.02,0.0004
-3.32e-05,-1.0,0.0012000000000000001,0.02,0.0004
-3.316e-05,-0.98,0.0024000000000000002,0.02,0.0004
-3.312e-05,-1.02,0.0032,0.02,0.0004
-3.308e-05,-1.02,0.0044,0.02,0.0004
-3.304e-05,-1.02,0.002,0.02,0.0004
-3.3e-05,-1.0,-0.004,0.02,0.0004
-3.296e-05,-1.02,-0.008,0.02,0.0004
-3.292e-05,-0.98,-0.0048000000000000004,0.02,0.0004
-3.2880000000000004e-05,-1.0,0.0004,0.02,0.0004
-3.2840000000000004e-05,-1.04,-0.0012000000000000001,0.02,0.0004
-3.28e-05,-1.0,-0.0016,0.02,0.0004
-3.2760000000000005e-05,-1.02,-0.0032,0.02,0.0004
-3.272e-05,-1.0,-0.0016,0.02,0.0004
-3.2680000000000006e-05,-1.0,-0.0016,0.02,0.0004
-3.264e-05,-1.0,-0.0028,0.02,0.0004
