Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
18915050.036196534,-3.59e-08,0.36,0.0036000000000000003,0.02,0.0004
18915050.036196534,-3.579999999999999e-08,0.34,0.0032,0.02,0.0004
18915050.036196534,-3.5699999999999995e-08,0.34,0.0032,0.02,0.0004
18915050.036196534,-3.559999999999999e-08,0.32,0.0032,0.02,0.0004
18915050.036196534,-3.5499999999999994e-08,0.32,0.0028,0.02,0.0004
18915050.036196534,-3.5399999999999986e-08,0.3,0.0028,0.02,0.0004
18915050.036196534,-3.529999999999999e-08,0.3,0.0024000000000000002,0.02,0.0004
18915050.036196534,-3.52e-08,0.28,0.0024000000000000002,0.02,0.0004
18915050.036196534,-3.509999999999999e-08,0.28,0.0024000000000000002,0.02,0.0004
18915050.036196534,-3.4999999999999996e-08,0.26,0.002,0.02,0.0004
18915050.036196534,-3.489999999999999e-08,0.26,0.002,0.02,0.0004
18915050.036196534,-3.4799999999999994e-08,0.24,0.0016,0.02,0.0004
18915050.036196534,-3.4699999999999986e-08,0.24,0.0016,0.02,0.0004
18915050.036196534,-3.459999999999999e-08,0.22,0.0016,0.02,0.0004
18915050.036196534,-3.4499999999999985e-08,0.22,0.0012000000000000001,0.02,0.0004
18915050.036196534,-3.439999999999999e-08,0.2,0.0012000000000000001,0.02,0.0004
18915050.036196534,-3.4299999999999996e-08,0.2,0.0008,0.02,0.0004
18915050.036196534,-3.419999999999999e-08,0.18,0.0008,0.02,0.0004
18915050.036196534,-3.4099999999999994e-08,0.18,0.0004,0.02,0.0004
18915050.036196534,-3.399999999999999e-08,0.18,0.0004,0.02,0.0004
18915050.036196534,-3.389999999999999e-08,0.16,0.0004,0.02,0.0004
18915050.036196534,-3.3799999999999985e-08,0.16,0.0,0.02,0.0004
18915050.036196534,-3.369999999999999e-08,0.14,0.0,0.02,0.0004
18915050.036196534,-3.3599999999999996e-08,0.14,0.0,0.02,0.0004
18915050.036196534,-3.349999999999999e-08,0.14,-0.0004,0.02,0.0004
18915050.036196534,-3.3399999999999995e-08,0.12,-0.0004,0.02,0.0004
18915050.036196534,-3.329999999999999e-08,0.12,-0.0004,0.02,0.0004
18915050.036196534,-3.319999999999999e-08,0.1,-0.0004,0.02,0.0004
18915050.036196534,-3.3099999999999985e-08,0.1,-0.0004,0.02,0.0004
18915050.036196534,-3.299999999999999e-08,0.08,-0.0004,0.02,0.0004
18915050.036196534,-3.29e-08,0.08,-0.0004,0.02,0.0004
18915050.036196534,-3.279999999999999e-08,0.06,-0.0004,0.02,0.0004
18915050.036196534,-3.2699999999999995e-08,0.06,-0.0004,0.02,0.0004
18915050.036196534,-3.259999999999999e-08,0.04,-0.0004,0.02,0.0004
18915050.036196534,-3.249999999999999e-08,0.04,-0.0004,0.02,0.0004
18915050.036196534,-3.2399999999999986e-08,0.02,-0.0004,0.02,0.0004
18915050.036196534,-3.229999999999999e-08,0.02,-0.0004,0.02,0.0004
18915050.036196534,-3.22e-08,0.0,-0.0004,0.02,0.0004
18915050.036196534,-3.209999999999999e-08,0.0,-0.0004,0.02,0.0004
18915050.036196534,-3.1999999999999995e-08,0.0,-0.0004,0.02,0.0004
18915050.036196534,-3.189999999999999e-08,-0.02,-0.0004,0.02,0.0004
18915050.036196534,-3.1799999999999994e-08,-0.02,-0.0004,0.02,0.0004
18915050.036196534,-3.1699999999999986e-08,-0.04,-0.0004,0.02,0.0004
18915050.036196534,-3.159999999999999e-08,-0.04,0.0,0.02,0.0004
18915050.036196534,-3.15e-08,-0.04,0.0,0.02,0.0004
18915050.036196534,-3.139999999999999e-08,-0.06,0.0,0.02,0.0004
